Model,Rolling Window,Mean Return (Daily),Daily Volatility,Annualized Volatility,Sharpe Ratio (Daily)
Chronos Base,5,-0.000163,0.019398,0.30793,-0.008399
Chronos Small,5,-7.1e-05,0.018558,0.294605,-0.003823
Lasso,5,0.00129,0.018335,0.291058,0.070374
NN1,5,0.000979,0.018286,0.290289,0.053519
NN2,5,0.000439,0.019259,0.305733,0.022791
NN3,5,0.000174,0.017534,0.278345,0.009897
NN4,5,0.000479,0.017945,0.284861,0.0267
NN5,5,4.2e-05,0.018323,0.290874,0.002295
OLS,5,0.001275,0.018328,0.290949,0.069557
PCR,5,0.001275,0.018328,0.290949,0.069557
PLS,5,0.001275,0.018328,0.290949,0.069557
RF,5,0.000326,0.017354,0.275484,0.018802
Ridge,5,0.001275,0.018328,0.290949,0.069557
TimeFm,5,-0.000219,0.019021,0.301947,-0.011533
Uni2Ts Base,5,0.000136,0.020847,0.330936,0.006513
Uni2Ts Small,5,0.000173,0.021065,0.334393,0.008226
Chronos Base,21,-0.000171,0.016889,0.268098,-0.010116
Chronos Small,21,0.000161,0.016942,0.268948,0.009495
Lasso,21,0.00106,0.018262,0.289906,0.058033
NN1,21,0.000288,0.018683,0.296576,0.015408
NN2,21,0.000568,0.018244,0.289607,0.031142
NN3,21,9.3e-05,0.016958,0.269204,0.005487
NN4,21,0.000419,0.018602,0.295294,0.022516
NN5,21,0.000386,0.017271,0.274163,0.022364
OLS,21,0.001002,0.018179,0.288582,0.055106
PCR,21,0.001185,0.017559,0.278741,0.067469
PLS,21,0.001002,0.018179,0.288582,0.055106
RF,21,0.000494,0.017348,0.275385,0.028502
Ridge,21,0.001002,0.018179,0.288582,0.055106
TimeFm,21,-0.000267,0.018291,0.290359,-0.014604
Uni2Ts Base,21,0.000618,0.021243,0.337223,0.029076
Uni2Ts Small,21,0.000337,0.021414,0.33994,0.01574
Chronos Base,252,0.000304,0.015299,0.24286,0.019856
Chronos Small,252,0.000602,0.01574,0.249873,0.038233
Lasso,252,0.001353,0.017834,0.283109,0.075874
NN1,252,0.000294,0.018096,0.287269,0.016241
NN2,252,0.000729,0.019132,0.303709,0.038081
NN3,252,0.000332,0.018494,0.293591,0.017949
NN4,252,0.00104,0.020234,0.321211,0.05139
NN5,252,0.000786,0.017075,0.271059,0.046008
OLS,252,0.001344,0.017931,0.28465,0.074953
PCR,252,0.001046,0.017607,0.279504,0.059395
PLS,252,0.001344,0.017931,0.28465,0.074953
RF,252,0.000851,0.018297,0.290449,0.046517
Ridge,252,0.001344,0.017931,0.28465,0.074953
TimeFm,252,-1.3e-05,0.018148,0.288095,-0.000716
Uni2Ts Base,252,0.001069,0.020314,0.322478,0.052619
Uni2Ts Small,252,0.000845,0.019979,0.31716,0.042313
Chronos Base,512,0.000408,0.014688,0.23317,0.02775
Chronos Small,512,0.000574,0.015089,0.239533,0.038008
Lasso,512,0.001446,0.017911,0.284329,0.080727
NN1,512,0.000881,0.019382,0.307682,0.045455
NN2,512,0.000588,0.01691,0.268444,0.034791
NN3,512,0.000684,0.0187,0.296859,0.036588
NN4,512,0.001134,0.019765,0.313765,0.057386
NN5,512,0.000924,0.018056,0.286633,0.051166
OLS,512,0.001447,0.017907,0.284269,0.080813
PCR,512,0.001334,0.017687,0.28078,0.075406
PLS,512,0.001447,0.017907,0.284269,0.080813
RF,512,0.000753,0.018661,0.296232,0.04033
Ridge,512,0.001447,0.017907,0.284269,0.080813
TimeFm,512,0.000224,0.018154,0.288191,0.012343
Uni2Ts Base,512,0.001016,0.02107,0.334476,0.048222
Uni2Ts Small,512,0.001057,0.021354,0.338986,0.049477
